Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2018,09,21,18.9,1,Y
IDCJAC0010,086338,2018,09,22,17.3,1,Y
IDCJAC0010,086338,2018,09,23,13.7,1,Y
IDCJAC0010,086338,2018,09,24,14.9,1,Y
IDCJAC0010,086338,2018,09,25,13.6,1,Y
IDCJAC0010,086338,2018,09,26,17.6,1,Y
IDCJAC0010,086338,2018,09,27,24.2,1,Y
IDCJAC0010,086338,2018,09,28,15.2,1,Y
IDCJAC0010,086338,2018,09,29,14.0,1,Y
IDCJAC0010,086338,2018,09,30,16.5,1,Y
IDCJAC0010,086338,2018,10,01,23.3,1,N
IDCJAC0010,086338,2018,10,02,25.8,1,N
IDCJAC0010,086338,2018,10,03,18.1,1,N
IDCJAC0010,086338,2018,10,04,14.6,1,N
IDCJAC0010,086338,2018,10,05,20.5,1,N
IDCJAC0010,086338,2018,10,06,23.8,1,N
IDCJAC0010,086338,2018,10,07,24.7,1,N
IDCJAC0010,086338,2018,10,08,28.2,1,N
IDCJAC0010,086338,2018,10,09,17.9,1,N
IDCJAC0010,086338,2018,10,10,16.5,1,N
IDCJAC0010,086338,2018,10,11,20.7,1,N
IDCJAC0010,086338,2018,10,12,22.7,1,Y
IDCJAC0010,086338,2018,10,13,24.9,1,N
IDCJAC0010,086338,2018,10,14,27.3,1,N
IDCJAC0010,086338,2018,10,15,27.5,1,N
IDCJAC0010,086338,2018,10,16,23.1,1,N
IDCJAC0010,086338,2018,10,17,22.6,1,N
IDCJAC0010,086338,2018,10,18,20.7,1,N
IDCJAC0010,086338,2018,10,19,27.4,1,N
IDCJAC0010,086338,2018,10,20,16.1,1,N
IDCJAC0010,086338,2018,10,21,19.2,1,N
IDCJAC0010,086338,2018,10,22,27.0,1,N
IDCJAC0010,086338,2018,10,23,18.8,1,N
IDCJAC0010,086338,2018,10,24,15.5,1,N
IDCJAC0010,086338,2018,10,25,19.5,1,N
IDCJAC0010,086338,2018,10,26,18.3,1,N
IDCJAC0010,086338,2018,10,27,19.6,1,N
IDCJAC0010,086338,2018,10,28,15.9,1,N
IDCJAC0010,086338,2018,10,29,17.0,1,N
IDCJAC0010,086338,2018,10,30,25.2,1,N
IDCJAC0010,086338,2018,10,31,19.5,1,N
IDCJAC0010,086338,2018,11,01,34.3,1,Y
IDCJAC0010,086338,2018,11,02,31.6,1,Y
IDCJAC0010,086338,2018,11,03,20.9,1,Y
IDCJAC0010,086338,2018,11,04,20.9,1,Y
IDCJAC0010,086338,2018,11,05,28.6,1,Y
IDCJAC0010,086338,2018,11,06,21.4,1,Y
IDCJAC0010,086338,2018,11,07,17.2,1,Y
IDCJAC0010,086338,2018,11,08,17.0,1,Y
IDCJAC0010,086338,2018,11,09,20.0,1,Y
IDCJAC0010,086338,2018,11,10,20.3,1,Y
IDCJAC0010,086338,2018,11,11,19.6,1,Y
IDCJAC0010,086338,2018,11,12,30.2,1,Y
IDCJAC0010,086338,2018,11,13,30.5,1,Y
IDCJAC0010,086338,2018,11,14,17.3,1,Y
IDCJAC0010,086338,2018,11,15,18.1,1,Y
IDCJAC0010,086338,2018,11,16,19.0,1,Y
IDCJAC0010,086338,2018,11,17,18.1,1,Y
IDCJAC0010,086338,2018,11,18,26.6,1,Y
IDCJAC0010,086338,2018,11,19,30.9,1,Y
IDCJAC0010,086338,2018,11,20,27.6,1,Y
IDCJAC0010,086338,2018,11,21,23.2,1,Y
IDCJAC0010,086338,2018,11,22,16.4,1,Y
IDCJAC0010,086338,2018,11,23,14.5,1,Y
IDCJAC0010,086338,2018,11,24,16.9,1,Y
IDCJAC0010,086338,2018,11,25,18.8,1,Y
IDCJAC0010,086338,2018,11,26,18.6,1,Y
IDCJAC0010,086338,2018,11,27,20.0,1,Y
IDCJAC0010,086338,2018,11,28,20.8,1,Y
IDCJAC0010,086338,2018,11,29,18.7,1,Y
IDCJAC0010,086338,2018,11,30,20.8,1,Y
IDCJAC0010,086338,2018,12,01,31.7,1,Y
IDCJAC0010,086338,2018,12,02,19.5,1,Y
IDCJAC0010,086338,2018,12,03,23.6,1,Y
IDCJAC0010,086338,2018,12,04,20.5,1,Y
IDCJAC0010,086338,2018,12,05,25.2,1,Y
IDCJAC0010,086338,2018,12,06,35.5,1,Y
IDCJAC0010,086338,2018,12,07,38.0,1,Y
IDCJAC0010,086338,2018,12,08,30.3,1,Y
IDCJAC0010,086338,2018,12,09,20.1,1,Y
IDCJAC0010,086338,2018,12,10,20.6,1,Y
IDCJAC0010,086338,2018,12,11,23.6,1,Y
IDCJAC0010,086338,2018,12,12,33.6,1,Y
IDCJAC0010,086338,2018,12,13,21.1,1,Y
IDCJAC0010,086338,2018,12,14,22.7,1,Y
IDCJAC0010,086338,2018,12,15,24.8,1,Y
IDCJAC0010,086338,2018,12,16,23.5,1,Y
IDCJAC0010,086338,2018,12,17,21.8,1,Y
IDCJAC0010,086338,2018,12,18,20.8,1,Y
IDCJAC0010,086338,2018,12,19,26.9,1,Y
IDCJAC0010,086338,2018,12,20,21.2,1,Y
IDCJAC0010,086338,2018,12,21,20.9,1,Y
IDCJAC0010,086338,2018,12,22,19.1,1,Y
IDCJAC0010,086338,2018,12,23,26.9,1,Y
IDCJAC0010,086338,2018,12,24,34.2,1,Y
IDCJAC0010,086338,2018,12,25,23.9,1,Y
IDCJAC0010,086338,2018,12,26,23.8,1,Y
IDCJAC0010,086338,2018,12,27,37.4,1,Y
IDCJAC0010,086338,2018,12,28,36.4,1,Y
IDCJAC0010,086338,2018,12,29,23.9,1,Y
IDCJAC0010,086338,2018,12,30,22.7,1,Y
IDCJAC0010,086338,2018,12,31,23.5,1,Y
